"Cell","Lat","Lon","ai_yr","landcover","MAT_WC","MAP_WC","treecover","shrubcover"
49186,-55.75,-67.25,12717,20,49.25,700,26,0
49901,-55.25,-69.75,NA,20,53.41666667,1121,0,0
49902,-55.25,-69.25,18745,13,47.5,1000,0,0
49903,-55.25,-68.75,18189,2,42.66666667,909,10,0
49904,-55.25,-68.25,15952,20,44.33333333,857,40,0
49905,-55.25,-67.75,NA,20,54.83333333,680,11,7
49906,-55.25,-67.25,9673,3,52.66666667,536,50,13
50617,-54.75,-71.75,NA,20,56.5,1684,0,0
50618,-54.75,-71.25,28185,20,54.83333333,1439,0,0
50619,-54.75,-70.75,NA,20,52.08333333,1268,0,0
50620,-54.75,-70.25,20977,20,40.08333333,1117,0,2
50621,-54.75,-69.75,NA,20,31.83333333,977,0,0
50622,-54.75,-69.25,27456,21,-19,903,0,0
50623,-54.75,-68.75,15935,13,18.58333333,740,4,46
50624,-54.75,-68.25,10755,1,43.41666667,596,69,9
50625,-54.75,-67.75,9090,13,31.75,548,52,0
50626,-54.75,-67.25,9273,13,33.83333333,481,38,57
50627,-54.75,-66.75,8799,19,29.08333333,484,26,0
50628,-54.75,-66.25,8711,3,46.5,476,39,42
50629,-54.75,-65.75,8918,1,51.33333333,503,53,0
50630,-54.75,-65.25,9729,3,43.66666667,542,67,0
50632,-54.75,-64.25,11155,3,40.75,621,53,10
50688,-54.75,-36.25,48805,21,5.416666667,1582,0,0
51335,-54.25,-72.75,NA,20,59.41666667,2273,0,0
51336,-54.25,-72.25,NA,20,59.16666667,1818,0,0
51337,-54.25,-71.75,29236,3,53.58333333,1463,13,40
51338,-54.25,-71.25,NA,20,53.91666667,1230,0,0
51339,-54.25,-70.75,21257,21,33.58333333,1073,0,0
51340,-54.25,-70.25,18388,3,46.83333333,946,28,0
51342,-54.25,-69.25,12615,3,37.83333333,670,38,0
51343,-54.25,-68.75,9871,3,44.58333333,548,63,0
51344,-54.25,-68.25,8194,3,42.41666667,466,36,0
51345,-54.25,-67.75,6903,12,53,403,19,33
51346,-54.25,-67.25,6748,3,48.41666667,386,49,0
51347,-54.25,-66.75,NA,20,54.75,391,16,0
51406,-54.25,-37.25,NA,20,12.91666667,1539,0,0
51407,-54.25,-36.75,42830,19,-7.083333333,1627,0,0
51408,-54.25,-36.25,NA,20,19.75,1597,0,0
52054,-53.75,-73.25,53688,20,62.16666667,2736,0,0
52055,-53.75,-72.75,43194,20,49.5,2098,0,0
52056,-53.75,-72.25,NA,3,43.75,1589,24,0
52057,-53.75,-71.75,21685,13,60.83333333,1184,0,60
52058,-53.75,-71.25,17294,3,47,952,39,0
52061,-53.75,-69.75,11021,14,52.83333333,616,39,0
52062,-53.75,-69.25,9302,3,50.83333333,514,37,10
52063,-53.75,-68.75,7567,12,53.33333333,428,0,60
52064,-53.75,-68.25,6221,14,55.08333333,367,14,38
52065,-53.75,-67.75,5523,12,55,328,18,54
52772,-53.25,-74.25,NA,20,66,4014,0,0
52773,-53.25,-73.75,NA,20,65.83333333,3590,0,0
52774,-53.25,-73.25,NA,20,61.33333333,2656,0,0
52775,-53.25,-72.75,NA,20,49.41666667,1856,0,0
52776,-53.25,-72.25,21826,20,54,1291,0,0
52777,-53.25,-71.75,NA,20,62.33333333,893,0,0
52778,-53.25,-71.25,11681,19,43.58333333,670,54,0
52780,-53.25,-70.25,7870,2,60.75,462,22,20
52781,-53.25,-69.75,7985,1,43.33333333,445,33,32
52782,-53.25,-69.25,6580,14,62.58333333,386,26,15
52783,-53.25,-68.75,5706,1,63.83333333,335,10,10
53491,-52.75,-74.75,77604,20,66.66666667,3344,0,0
53494,-52.75,-73.25,39770,13,64,2291,5,7
