Code,Dataset,BIOME,Species,GF,Decid/E'green,Needle/Broad lf,C3C4,N2-fixer,log LL,log LMA,log Nmass,log Narea,log Pmass,log Parea,log Amass,log Aarea,log Gs,log Rdmass,log Rdarea,Ca - Ci,,,,
1,Ackerly_Jasper,WLAND,Adenostoma fasciculatum,S,E,N,C3,N,1.26,2.45,0.069,0.546,-0.932,-0.478,1.69,1.15,2.35,,,82.4,,,,
2,Ackerly_Jasper,WLAND,Arbutus menziesii,S,E,B,C3,N,1.17,2.19,0.094,0.288,-0.923,-0.735,1.86,1.05,2.18,,,159.0,,,,
3,Ackerly_Jasper,WLAND,Arctostaphylos tomentosa,S,E,B,C3,N,1.35,2.15,0.014,0.171,-0.994,-0.849,1.88,1.02,2.20,,,138.3,,,,
4,Ackerly_Jasper,WLAND,Artemisia californica,S,D,B,C3,N,,1.98,,,,,,,,,,,,,,
5,Ackerly_Jasper,WLAND,Baccharis pilularis,S,E,B,C3,N,0.95,2.03,0.388,0.414,-0.824,-0.793,2.21,1.24,2.33,,,172.3,,,,
6,Ackerly_Jasper,WLAND,Ceanothus cuneatus,S,E,B,C3,Y,1.17,2.36,0.255,0.611,-0.962,-0.606,2.00,1.36,2.42,,,164.6,,,,
7,Ackerly_Jasper,WLAND,Ceanothus oliganthus,S,E,B,C3,Y,1.04,2.08,0.328,0.418,-0.826,-0.745,2.17,1.25,2.47,,,164.1,,,,
8,Ackerly_Jasper,WLAND,Cercocarpus betuloides,S,E,B,C3,Y,1.07,2.14,0.382,0.531,-0.692,-0.554,2.25,1.39,2.70,,,113.3,,,,
9,Ackerly_Jasper,WLAND,Clematis lasiantha,V,D,B,C3,N,,1.87,,,,,,,,,,,,,,
10,Ackerly_Jasper,WLAND,Dirca occidentalis,S,D,B,C3,N,0.60,1.75,0.412,0.161,-0.761,-1.007,2.13,0.89,2.18,,,117.5,,,,
11,Ackerly_Jasper,WLAND,Eriodictyon californicum,S,E,B,C3,N,0.96,2.25,0.222,0.476,-0.805,-0.554,2.02,1.27,2.55,,,137.3,,,,
12,Ackerly_Jasper,WLAND,Heteromeles arbutifolia,S,E,B,C3,N,1.36,2.32,0.137,0.452,-0.879,-0.564,1.77,1.09,2.37,,,127.1,,,,
